Stock,Symbol
INDIAMART,INDIAMART.NS
INDIGO,INDIGO.NS
INDUSINDBK,INDUSINDBK.NS
INDUSTOWER,INDUSTOWER.NS
INFY,INFY.NS
IOC,IOC.NS
IPCALAB,IPCALAB.NS
IRCTC,IRCTC.NS
ITC,ITC.NS
JINDALSTEL,JINDALSTEL.NS
JKCEMENT,JKCEMENT.NS
JSWSTEEL,JSWSTEEL.NS
JUBLFOOD,JUBLFOOD.NS
KOTAKBANK,KOTAKBANK.NS
L&TFH,L&TFH.NS
LALPATHLAB,LALPATHLAB.NS
LAURUSLABS,LAURUSLABS.NS
LICHSGFIN,LICHSGFIN.NS
LT,LT.NS
LTI,LTI.NS
LTTS,LTTS.NS
LUPIN,LUPIN.NS
M&M,M&M.NS
M&MFIN,M&MFIN.NS
MANAPPURAM,MANAPPURAM.NS
MARICO,MARICO.NS
MARUTI,MARUTI.NS
MCDOWELL-N,MCDOWELL-N.NS
MCX,MCX.NS
METROPOLIS,METROPOLIS.NS
MFSL,MFSL.NS
MGL,MGL.NS
MINDTREE,MINDTREE.NS
MOTHERSUMI,MOTHERSUMI.NS
MPHASIS,MPHASIS.NS
MRF,MRF.NS
MUTHOOTFIN,MUTHOOTFIN.NS
NAM-INDIA,NAM-INDIA.NS
NATIONALUM,NATIONALUM.NS
NAUKRI,NAUKRI.NS
NAVINFLUOR,NAVINFLUOR.NS
NBCC,NBCC.NS
NESTLEIND,NESTLEIND.NS
NMDC,NMDC.NS
NTPC,NTPC.NS
OBEROIRLTY,OBEROIRLTY.NS
OFSS,OFSS.NS
ONGC,ONGC.NS
PAGEIND,PAGEIND.NS
PEL,PEL.NS
PERSISTENT,PERSISTENT.NS
PETRONET,PETRONET.NS
PFC,PFC.NS
PFIZER,PFIZER.NS
PIDILITIND,PIDILITIND.NS
PIIND,PIIND.NS
PNB,PNB.NS
POLYCAB,POLYCAB.NS
POWERGRID,POWERGRID.NS
PVR,PVR.NS
RAIN,RAIN.NS
RAMCOCEM,RAMCOCEM.NS
RBLBANK,RBLBANK.NS
RECLTD,RECLTD.NS
RELIANCE,RELIANCE.NS
SAIL,SAIL.NS
SBICARD,SBICARD.NS
SBILIFE,SBILIFE.NS
SBIN,SBIN.NS
SHREECEM,SHREECEM.NS
SIEMENS,SIEMENS.NS
SRF,SRF.NS
SRTRANSFIN,SRTRANSFIN.NS
STAR,STAR.NS
SUNPHARMA,SUNPHARMA.NS
SUNTV,SUNTV.NS
SYNGENE,SYNGENE.NS
TATACHEM,TATACHEM.NS
TATACOMM,TATACOMM.NS
TATACONSUM,TATACONSUM.NS
TATAMOTORS,TATAMOTORS.NS
TATAPOWER,TATAPOWER.NS
TATASTEEL,TATASTEEL.NS
TCS,TCS.NS
TECHM,TECHM.NS
TITAN,TITAN.NS
TORNTPHARM,TORNTPHARM.NS
TORNTPOWER,TORNTPOWER.NS
TRENT,TRENT.NS
TVSMOTOR,TVSMOTOR.NS
UBL,UBL.NS
ULTRACEMCO,ULTRACEMCO.NS
UPL,UPL.NS
VEDL,VEDL.NS
VOLTAS,VOLTAS.NS
WHIRLPOOL,WHIRLPOOL.NS
WIPRO,WIPRO.NS
ZEEL,ZEEL.NS
ABB,ABB.NS
INTELLECT,INTELLECT.NS
